"nb";"domain"
"91";"hpsj.fr"
"87";"ch-valenciennes.fr"
"34";"chru-strasbourg.fr"
"27";"ap-hm.fr"
"22";"chi-eureseine.fr"
"18";"chu-grenoble.fr"
"18";"chu-lyon.fr"
"15";"ch-simoneveil.fr"
"14";"ch-aix.fr"
"13";"chu-rouen.fr"
"13";"lyon.unicancer.fr"
"12";"chu-toulouse.fr"
"12";"ch-beauvais.fr"
"11";"chu-nice.fr"
"10";"ghicl.net"
"9";"ch-vienne.fr"
"9";"chu-bordeaux.fr"
"8";"ch-st-cyr69.fr"
"8";"ch-montauban.fr"
"8";"aphp.fr"
"8";"chru-lille.fr"
"7";"mls.nc"
"7";"chu-nantes.fr"
"7";"chicas-gap.fr"
"7";"chu-besancon.fr"
"6";"ch-laon.fr"
"6";"chu-clermontferrand.fr"
"6";"ghsv.org"
"5";"ch-crest.fr"
"5";"ch-cornouaille.fr"
"5";"ch-ed.fr"
"4";"o-lambret.fr"
"4";"ch-digne.fr"
"4";"chu-brest.fr"
"4";"chu-montpellier.fr"
"3";"ch-bourg01.fr"
"3";"brc.aphp.fr"
"3";"chu-amiens.fr"
"3";"ch-givors.fr"
"3";"capio.fr"
"3";"ch-roanne.fr"
"3";"chu-nancy.fr"
"3";"chu-nimes.fr"
"3";"abc.aphp.fr"
"3";"epsm-lille-metropole.fr"
"3";"ch-ardeche-meridionale.fr"
"3";"chr-orleans.fr"
"3";"ch-nanterre.fr"
"3";"cch.aphp.fr"
"3";"ch-charleville-mezieres.fr"
"2";"ch-argenteuil.fr"
"2";"ch-meaux.fr"
"2";"hopitaux-st-maurice.fr"
"2";"ch-cm.fr"
"2";"sa3h.fr"
"2";"bch.aphp.fr"
"2";"chu-reims.fr"
"2";"chu-st-etienne.fr"
"2";"ch-avignon.fr"
"2";"apr.aphp.fr"
"2";"ch-antibes.fr"
"2";"ch-troyes.fr"
"2";"ch-colmar.fr"
"2";"vidal.fr"
"2";"ch-bethune.fr"
"2";"ch-roubaix.fr"
"2";"chpg.mc"
"2";"ch-clermont.fr"
"2";"ch-quimperle.fr"
"2";"ch-nevers.fr"
"2";"ch-sud-francilien.fr"
"2";"clinique-claudebernard.fr"
"2";"ch-dieppe.fr"
"2";"chu-rennes.fr"
"2";"trs.aphp.fr"
"2";"ch-stbrieuc.fr"
"2";"ch-stlo.fr"
"2";"chl.lu"
"1";"chr-metz-thionville.fr"
"1";"cliniquedescedres.com"
"1";"ch-saint-amand-les-eaux.fr"
"1";"clinique-pasteur.com"
"1";"ch-bagnolssurceze.fr"
"1";"ch-melun.fr"
"1";"groupe-vitalia.com"
"1";"ch-niort.fr"
"1";"epsve.fr"
"1";"hpr-bullion.fr"
"1";"polyclinique-atlantique.fr"
"1";"ch-saverne.fr"
"1";"ch-saintnazaire.fr"
"1";"clinique.mutualite56.fr"
"1";"mla.fr"
"1";"ch-blois.fr"
"1";"ch-poitiers.fr"
"1";"ch-salon.fr"
"1";"ahparis.org"
"1";"unilim.fr"
"1";"ch-lemans.fr"
"1";"igr.fr"
"1";"ch-grasse.fr"
"1";"ugecam-alsace.fr"
"1";"ch-soissons.fr"
"1";"ch-arles.fr"
"1";"gustaveroussy.fr"
"1";"ch-mantes.fr"
"1";"ch-douai.fr"
"1";"stcome.com"
"1";"cht.pf"
"1";"ch-annecygenevois.fr"
"1";"ch-abbeville.fr"
"1";"chiv.fr"
"1";"gh-paulguiraud.fr"
"1";"ch-agen.fr"
"1";"clinique-delay.fr"
"1";"adapei65.fr"
"1";"ch-martigues.fr"
"1";"ch-vichy.fr"
"1";"ch-stjoseph-stluc-lyon.fr"
"1";"ch-larochelle.fr"
"1";"ch-arcachon.fr"
"1";"ccm.mc"
"1";"ch-jonzac.fr"
"1";"chu-limoges.fr"
"1";"ch-cotentin.fr"
"1";"lesportesdusud.net"
"1";"choisy-cliniques.com"
"1";"bjn.aphp.fr"
"1";"ch-ajaccio.fr"
"1";"ch-cadillac.fr"
"1";"ch-pau.fr"
"1";"infirmerie-protestante.com"
"1";"ch-montlucon.fr"
"1";"ch-le-vinatier.fr"
"1";"ch-marchant.fr"
"1";"ch-carcassonne.fr"
"1";"evhr.net"
"1";"pssm.fr"
"1";"ch-versailles.fr"
